file,is_unindentified_algae_from_satellite,has_bioluminescence,other,Key Details,Satellite,Date,Suspected Species,Notes
00001.jpg,TRUE,FALSE,FALSE,,,,,
00002.jpg,TRUE,FALSE,FALSE,,,,,
00003.jpg,TRUE,FALSE,FALSE,,,,,
00004.jpg,TRUE,FALSE,FALSE,,,,,
00005.jpg,TRUE,FALSE,FALSE,,,,,
00006.jpg,TRUE,FALSE,FALSE,,,,,
00007.jpg,TRUE,FALSE,FALSE,,,,,
00008.jpg,TRUE,FALSE,FALSE,,,,,
00009.jpg,TRUE,FALSE,FALSE,,,,,
00010.jpg,TRUE,FALSE,FALSE,,,,,
00011.jpg,TRUE,FALSE,FALSE,,,,,
00012.jpg,TRUE,FALSE,FALSE,,,,,
00013.jpg,TRUE,FALSE,FALSE,,,,,
00014.jpg,TRUE,FALSE,FALSE,,,,,
00015.jpg,TRUE,FALSE,FALSE,,,,,
00016.jpg,TRUE,FALSE,FALSE,,,,,
00017.jpg,TRUE,FALSE,FALSE,,,,,
00018.jpg,TRUE,FALSE,FALSE,,,,,
00019.jpg,TRUE,FALSE,FALSE,,,,,
00020.jpg,TRUE,FALSE,FALSE,,,,,
00021.jpg,TRUE,FALSE,FALSE,,,,,
00022.jpg,TRUE,FALSE,FALSE,,,,,
00023.jpg,TRUE,FALSE,FALSE,,,,,
00024.jpg,TRUE,FALSE,FALSE,,,,,
00025.jpg,TRUE,FALSE,FALSE,,,,,
00026.jpg,TRUE,FALSE,FALSE,,,,,
00027.jpg,TRUE,FALSE,FALSE,,,,,
00028.jpg,TRUE,FALSE,FALSE,,,,,
00029.jpg,TRUE,FALSE,FALSE,,,,,
00030.jpg,TRUE,FALSE,FALSE,,,,,
00031.jpg,TRUE,FALSE,FALSE,,,,,
00032.jpg,TRUE,FALSE,FALSE,,,,,
00033.jpg,TRUE,FALSE,FALSE,,,,,
00034.jpg,TRUE,FALSE,FALSE,,,,,
00035.jpg,TRUE,FALSE,FALSE,,,,,
00036.jpg,TRUE,FALSE,FALSE,,,,,
00037.jpg,TRUE,FALSE,FALSE,,,,,
00038.jpg,TRUE,FALSE,FALSE,,,,,
00039.jpg,TRUE,FALSE,FALSE,,,,,
00040.jpg,TRUE,FALSE,FALSE,,,,,
00041.jpg,TRUE,FALSE,FALSE,,,,,
00042.jpg,TRUE,FALSE,FALSE,,,,,
00043.jpg,TRUE,FALSE,FALSE,,,,,
00044.jpg,TRUE,FALSE,FALSE,,,,,
00045.jpg,TRUE,FALSE,FALSE,,,,,
00046.jpg,TRUE,FALSE,FALSE,,,,,
00047.jpg,TRUE,FALSE,FALSE,,,,,
00048.jpg,TRUE,FALSE,FALSE,,,,,
00049.jpg,TRUE,FALSE,FALSE,,,,,
00050.jpg,TRUE,FALSE,FALSE,,,,,
00051.jpg,TRUE,FALSE,FALSE,,,,,
00052.jpg,TRUE,FALSE,FALSE,,,,,
00053.jpg,TRUE,FALSE,FALSE,,,,,
00054.jpg,TRUE,FALSE,FALSE,,,,,
00055.jpg,TRUE,FALSE,FALSE,,,,,
00056.jpg,TRUE,FALSE,FALSE,,,,,
00057.jpg,TRUE,FALSE,FALSE,,,,,
00058.jpg,TRUE,FALSE,FALSE,,,,,
00059.jpg,TRUE,FALSE,FALSE,,,,,
00060.jpg,TRUE,FALSE,FALSE,,,,,
00061.jpg,TRUE,FALSE,FALSE,,,,,
00062.jpg,TRUE,FALSE,FALSE,,,,,
00063.jpg,TRUE,FALSE,FALSE,,,,,
00064.jpg,TRUE,FALSE,FALSE,,,,,
00065.jpg,TRUE,FALSE,FALSE,,,,,
00066.jpg,TRUE,FALSE,FALSE,,,,,
00067.jpg,TRUE,FALSE,FALSE,,,,,
00068.jpg,TRUE,FALSE,FALSE,,,,,
00069.jpg,TRUE,FALSE,FALSE,,,,,
00070.jpg,TRUE,FALSE,FALSE,,,,,
00071.jpg,TRUE,FALSE,FALSE,,,,,
00072.jpg,TRUE,FALSE,FALSE,,,,,
00073.jpg,TRUE,FALSE,FALSE,,,,,
00074.jpg,TRUE,FALSE,FALSE,,,,,
00075.jpg,TRUE,FALSE,FALSE,,,,,
00076.jpg,TRUE,FALSE,FALSE,,,,,
00077.jpg,TRUE,FALSE,FALSE,,,,,
00078.jpg,TRUE,FALSE,FALSE,,,,,
00079.jpg,TRUE,FALSE,FALSE,,,,,
00080.jpg,TRUE,FALSE,FALSE,,,,,
00081.jpg,TRUE,FALSE,FALSE,,,,,
00082.jpg,TRUE,FALSE,FALSE,,,,,
00083.jpg,TRUE,FALSE,FALSE,,,,,
00084.jpg,TRUE,FALSE,FALSE,,,,,
00085.jpg,TRUE,FALSE,FALSE,,,,,
00086.jpg,TRUE,FALSE,FALSE,,,,,
00087.jpg,TRUE,FALSE,FALSE,,,,,
00088.jpg,TRUE,FALSE,FALSE,,,,,
00089.jpg,TRUE,FALSE,FALSE,,,,,
00090.jpg,TRUE,FALSE,FALSE,,,,,
00091.jpg,TRUE,FALSE,FALSE,,,,,
00092.jpg,TRUE,FALSE,FALSE,,,,,
00093.jpg,TRUE,FALSE,FALSE,,,,,
00094.jpg,TRUE,FALSE,FALSE,,,,,
00095.jpg,TRUE,FALSE,FALSE,,,,,
00096.jpg,TRUE,FALSE,FALSE,,,,,
00097.jpg,TRUE,FALSE,FALSE,,,,,
00098.jpg,TRUE,FALSE,FALSE,,,,,
00099.jpg,TRUE,FALSE,FALSE,,,,,
00100.jpg,TRUE,FALSE,FALSE,,,,,
00101.jpg,TRUE,FALSE,FALSE,,,,,
00102.jpg,TRUE,FALSE,FALSE,,,,,
00103.jpg,TRUE,FALSE,FALSE,,,,,
00104.jpg,TRUE,FALSE,FALSE,,,,,
00105.jpg,TRUE,FALSE,FALSE,,,,,
00106.jpg,TRUE,FALSE,FALSE,,,,,
00107.jpg,TRUE,FALSE,FALSE,,,,,
00108.jpg,TRUE,FALSE,FALSE,,,,,
00109.jpg,TRUE,FALSE,FALSE,,,,,
00110.jpg,TRUE,FALSE,FALSE,,,,,
00111.jpg,TRUE,FALSE,FALSE,,,,,
00112.jpg,TRUE,FALSE,FALSE,,,,,
00113.jpg,TRUE,FALSE,FALSE,,,,,
00114.jpg,TRUE,FALSE,FALSE,,,,,
00115.jpg,TRUE,FALSE,FALSE,,,,,
00116.jpg,TRUE,FALSE,FALSE,,,,,
00117.jpg,TRUE,FALSE,FALSE,,,,,
00118.jpg,TRUE,FALSE,FALSE,,,,,
00119.jpg,TRUE,FALSE,FALSE,,,,,
00120.jpg,TRUE,FALSE,FALSE,,,,,
00121.jpg,TRUE,FALSE,FALSE,,,,,
00122.jpg,TRUE,FALSE,FALSE,,,,,
00123.jpg,TRUE,FALSE,FALSE,,,,,
00124.jpg,TRUE,FALSE,FALSE,,,,,
00125.jpg,TRUE,FALSE,FALSE,,,,,
00126.jpg,TRUE,FALSE,FALSE,,,,,
00127.jpg,TRUE,FALSE,FALSE,,,,,
00128.jpg,TRUE,FALSE,FALSE,,,,,
00129.jpg,TRUE,FALSE,FALSE,,,,,
00130.jpg,TRUE,FALSE,FALSE,,,,,
00131.jpg,TRUE,FALSE,FALSE,,,,,
00132.jpg,TRUE,FALSE,FALSE,,,,,
00133.jpg,TRUE,FALSE,FALSE,,,,,
00134.jpg,TRUE,FALSE,FALSE,,,,,
00135.jpg,TRUE,FALSE,FALSE,,,,,
00136.jpg,TRUE,FALSE,FALSE,,,,,
00137.jpg,TRUE,FALSE,FALSE,,,,,
00138.jpg,TRUE,FALSE,FALSE,,,,,
00139.jpg,TRUE,FALSE,FALSE,,,,,
00140.jpg,TRUE,FALSE,FALSE,,,,,
00141.jpg,TRUE,FALSE,FALSE,,,,,
00142.jpg,TRUE,FALSE,FALSE,,,,,
00143.jpg,TRUE,FALSE,FALSE,,,,,
00144.jpg,TRUE,FALSE,FALSE,,,,,
00145.jpg,TRUE,FALSE,FALSE,,,,,
00146.jpg,TRUE,FALSE,FALSE,,,,,
00147.jpg,TRUE,FALSE,FALSE,,,,,
00148.jpg,TRUE,FALSE,FALSE,,,,,
00149.jpg,TRUE,FALSE,FALSE,,,,,
00150.jpg,TRUE,FALSE,FALSE,,,,,
00151.jpg,TRUE,FALSE,FALSE,,,,,
00152.jpg,TRUE,FALSE,FALSE,,,,,
00153.jpg,TRUE,FALSE,FALSE,,,,,
00154.jpg,TRUE,FALSE,FALSE,,,,,
00155.jpg,TRUE,FALSE,FALSE,,,,,
00156.jpg,TRUE,FALSE,FALSE,,,,,
00157.jpg,TRUE,FALSE,FALSE,,,,,
00158.jpg,TRUE,FALSE,FALSE,,,,,
00159.jpg,TRUE,FALSE,FALSE,,,,,
00160.jpg,TRUE,FALSE,FALSE,,,,,
00161.jpg,TRUE,FALSE,FALSE,,,,,
00162.jpg,TRUE,FALSE,FALSE,,,,,
00163.jpg,TRUE,FALSE,FALSE,,,,,
00164.jpg,TRUE,FALSE,FALSE,,,,,
00165.jpg,TRUE,FALSE,FALSE,,,,,
00166.jpg,TRUE,FALSE,FALSE,,,,,
00167.jpg,TRUE,FALSE,FALSE,,,,,
00168.jpg,TRUE,FALSE,FALSE,,,,,
00169.jpg,TRUE,FALSE,FALSE,,,,,
00170.jpg,TRUE,FALSE,FALSE,,,,,
00171.jpg,TRUE,FALSE,FALSE,,,,,
00172.jpg,TRUE,FALSE,FALSE,,,,,
00173.jpg,TRUE,FALSE,FALSE,,,,,
00174.jpg,TRUE,FALSE,FALSE,,,,,
00175.jpg,TRUE,FALSE,FALSE,,,,,
00176.jpg,TRUE,FALSE,FALSE,,,,,
00177.jpg,TRUE,FALSE,FALSE,,,,,
00178.jpg,FALSE,TRUE,FALSE,,,,,
00179.jpg,FALSE,TRUE,FALSE,,,,,
00180.jpg,FALSE,TRUE,FALSE,,,,,
00181.jpg,FALSE,TRUE,FALSE,,,,,
